feature_name,sector,correlation,observations
tsmom_20,agriculture,-0.008469057226161696,13552
tsmom_20,chemicals,-0.021104028873718268,9427
tsmom_20,energy_rubber,-0.02037352452935364,6563
tsmom_20,ferrous_building,0.01781257763486146,10164
tsmom_20,nonferrous_precious,-0.004430438088120641,10159
csmom_20,agriculture,-0.027997179035424848,13552
csmom_20,chemicals,-0.026511207444565026,9427
csmom_20,energy_rubber,0.0005622116237389522,6573
csmom_20,ferrous_building,0.008626757095087225,10164
csmom_20,nonferrous_precious,-0.05058712861303286,10159
trend_efficiency_20,agriculture,-0.014917432335524871,13552
trend_efficiency_20,chemicals,-0.016344245001404287,9427
trend_efficiency_20,energy_rubber,-0.01325992432046085,6563
trend_efficiency_20,ferrous_building,-0.00761333366839781,10164
trend_efficiency_20,nonferrous_precious,0.006646189239940831,10159
realized_vol_20,agriculture,0.03474797658941156,13552
realized_vol_20,chemicals,-0.01820105990031866,9447
realized_vol_20,energy_rubber,0.013744033781378525,6573
realized_vol_20,ferrous_building,0.019768521306681955,10164
realized_vol_20,nonferrous_precious,-0.0005058517520611672,10159
momentum_quality_20,agriculture,-0.008204820771654148,13552
momentum_quality_20,chemicals,-0.021370605961836896,9427
momentum_quality_20,energy_rubber,-0.020786023290536953,6563
momentum_quality_20,ferrous_building,0.01739797896913539,10164
momentum_quality_20,nonferrous_precious,-0.003937035342822188,10159
vol_managed_momentum_20,agriculture,-0.004681381313740994,13552
vol_managed_momentum_20,chemicals,-0.013708013509726386,9427
vol_managed_momentum_20,energy_rubber,0.005609918025850542,6563
vol_managed_momentum_20,ferrous_building,0.04148327880107554,10164
vol_managed_momentum_20,nonferrous_precious,0.017820550312329098,10159
tsmom_60,agriculture,0.013197038240627044,13552
tsmom_60,chemicals,-0.03958139291066836,9347
tsmom_60,energy_rubber,-0.02144361479584883,6503
tsmom_60,ferrous_building,0.017236774655234054,10164
tsmom_60,nonferrous_precious,-0.023564172890592237,10159
csmom_60,agriculture,0.005059460890475763,13552
csmom_60,chemicals,-0.04806424670996264,9347
csmom_60,energy_rubber,-0.0020968105386345894,6533
csmom_60,ferrous_building,0.026513889039776133,10164
csmom_60,nonferrous_precious,-0.017165726620009494,10159
trend_efficiency_60,agriculture,0.004540683673149879,13552
trend_efficiency_60,chemicals,-0.003377511153304719,9347
trend_efficiency_60,energy_rubber,-0.012207703972153839,6503
trend_efficiency_60,ferrous_building,0.017409974245877976,10164
trend_efficiency_60,nonferrous_precious,0.00041705988457029625,10159
realized_vol_60,agriculture,0.05910766274794923,13552
realized_vol_60,chemicals,-0.006804145900810936,9407
realized_vol_60,energy_rubber,0.028907483646236493,6533
realized_vol_60,ferrous_building,0.0014841066096633847,10164
realized_vol_60,nonferrous_precious,0.008551617040431213,10159
momentum_quality_60,agriculture,0.012956945138784343,13552
momentum_quality_60,chemicals,-0.03963999546072088,9347
momentum_quality_60,energy_rubber,-0.020867912373072867,6503
momentum_quality_60,ferrous_building,0.01733407710699968,10164
momentum_quality_60,nonferrous_precious,-0.023651124760839737,10159
vol_managed_momentum_60,agriculture,0.016634041145766495,13552
vol_managed_momentum_60,chemicals,-0.0009521744050654228,9347
vol_managed_momentum_60,energy_rubber,0.008876987292821699,6503
vol_managed_momentum_60,ferrous_building,0.03302572304245657,10164
