feature_name,product,correlation,observations
tsmom_20,AG,-0.09032361184621868,1680
tsmom_20,AL,0.17279434470969046,1680
tsmom_20,AU,-0.08443018824516484,1680
tsmom_20,BU,-0.007985559711013775,1680
tsmom_20,C,-0.027471385585399574,1680
tsmom_20,CF,-0.07642650317113683,1680
tsmom_20,CU,-0.002215200108641114,1680
tsmom_20,EG,-0.033213573585854396,720
tsmom_20,FG,-0.03263332270736785,1680
tsmom_20,FU,-0.05661230656838673,1023
tsmom_20,HC,0.08327933977351402,1680
tsmom_20,I,0.08440172461745402,1680
tsmom_20,J,0.10381964073307572,1680
tsmom_20,JM,0.03222989686664974,1680
tsmom_20,M,-0.03890295606174545,1680
tsmom_20,MA,0.0016202072876908718,1680
tsmom_20,NI,-0.03962935986033303,1626
tsmom_20,OI,-0.025763846152664964,1680
tsmom_20,P,0.02063612629417655,1680
tsmom_20,PP,-0.019230211097519722,1680
tsmom_20,RB,0.0539213525191057,1680
tsmom_20,RM,-0.09460411667014987,1680
tsmom_20,RU,-0.04187975882760901,1680
tsmom_20,SA,0.11200002620522183,479
tsmom_20,SC,0.00783340512317924,894
tsmom_20,SR,-0.02459160249338038,1680
tsmom_20,TA,-0.047904881434837225,1680
tsmom_20,V,0.01834710856902202,1680
tsmom_20,Y,-0.00937449844387004,1680
tsmom_20,ZN,-0.03396717019936331,1680
csmom_20,AG,-0.0930952637588993,1680
csmom_20,AL,0.12256020292328455,1680
csmom_20,AU,-0.06186249558499667,1680
csmom_20,BU,-0.0020900543159918556,1680
csmom_20,C,-0.08246919617812826,1680
csmom_20,CF,-0.11179699698921025,1680
csmom_20,CU,-0.07864631566573943,1680
csmom_20,EG,-0.09738095053317619,720
csmom_20,FG,-0.04157642879431718,1680
csmom_20,FU,-0.06852275909138635,1060
csmom_20,HC,0.04487783067617537,1680
csmom_20,I,0.07963264036727738,1680
csmom_20,J,0.06264091481616953,1680
csmom_20,JM,0.00811107087199954,1680
csmom_20,M,0.014092738550409675,1680
csmom_20,MA,-0.018192379344229303,1680
csmom_20,NI,-0.06452943565241397,1626
csmom_20,OI,-0.0873810284270115,1680
csmom_20,P,-0.02404378047108659,1680
csmom_20,PP,-0.041167644379142464,1680
csmom_20,RB,0.014141392258413583,1680
csmom_20,RM,-0.035860895778445194,1680
csmom_20,RU,-0.01507439337444549,1680
csmom_20,SA,0.08833529498953485,479
csmom_20,SC,0.026862123402512688,894
csmom_20,SR,0.006704702714360505,1680
csmom_20,TA,-0.044628067582474125,1680
csmom_20,V,0.017689183752442005,1680
csmom_20,Y,-0.033267821407608325,1680
csmom_20,ZN,-0.09822573118627657,1680
trend_efficiency_20,AG,0.026376369669885658,1680
trend_efficiency_20,AL,-0.03972674866816694,1680
trend_efficiency_20,AU,0.06155057916225394,1680
trend_efficiency_20,BU,-0.04709498404813851,1680
trend_efficiency_20,C,-0.05350484165214945,1680
trend_efficiency_20,CF,-0.04046172000270056,1680
trend_efficiency_20,CU,0.04407230211907367,1680
trend_efficiency_20,EG,-0.00808543869361888,720
trend_efficiency_20,FG,-0.02977261549931868,1680
trend_efficiency_20,FU,0.0727579950265148,1023
trend_efficiency_20,HC,0.029199155740001877,1680
trend_efficiency_20,I,0.053492920199008163,1680
trend_efficiency_20,J,0.09392408986489109,1680
trend_efficiency_20,JM,0.0005360080461135672,1680
trend_efficiency_20,M,-0.007284505895823089,1680
trend_efficiency_20,MA,-0.06421485258260286,1680
trend_efficiency_20,NI,-0.00012615526278188412,1626
