,tsmom_20,csmom_20,trend_efficiency_20,realized_vol_20,momentum_quality_20,vol_managed_momentum_20,tsmom_60,csmom_60,trend_efficiency_60,realized_vol_60,momentum_quality_60,vol_managed_momentum_60,tsmom_120,csmom_120,trend_efficiency_120,realized_vol_120,momentum_quality_120,vol_managed_momentum_120,multi_horizon_trend,carry,curve_curvature,term_structure_slope,carry_change_5,basis_momentum_5,term_structure_momentum_5,term_structure_acceleration_5,carry_change_20,basis_momentum_20,term_structure_momentum_20,term_structure_acceleration_20,carry_change_60,basis_momentum_60,term_structure_momentum_60,value_60,value_120,value_252,reversal_5,oi_growth_5,reversal_20,oi_growth_20,price_oi_20,volume_shock_20,oi_surprise_20,volume_shock_60,oi_surprise_60,amihud_20,volume_oi_turnover,low_vol_20,low_vol_60,realized_skew_60,realized_skew_120,seasonality_3y_month,idiosyncratic_vol_60,relative_value_residual_60,correlation_risk_20_120,volume_price_divergence_20,interaction__tsmom_60__carry,interaction__momentum_quality_60__carry,interaction__tsmom_20__oi_surprise_20
tsmom_20,1.0,0.9202197648420296,0.07671035571476176,0.049552822034667245,0.9345827255012045,0.6888996098805119,0.5522512370320478,0.49617216895113303,0.025273953986241715,0.011486188668678756,0.5308324790665123,0.3599661063463731,0.3996478681301727,0.3641639839588934,0.019422428205719242,-0.008203363451723107,0.38818951401105506,0.2328570206921268,0.6544124364392443,0.10933452548077278,0.009513124964461564,0.250163433450345,0.021490285616758895,0.02380190262421197,0.17191759693620026,0.004109428173643761,0.029359634712161603,0.02862603448674687,0.30888247129666274,0.22598804192158226,0.005861012871244842,0.0076337866465177005,0.18804098842972847,-0.8060992364993199,-0.6661610586810828,-0.5258794432013464,-0.45786428073192,0.02605488580348006,-0.9048630007478368,0.05021167885229915,0.1898255552897919,0.1273826670985884,0.01482787829947795,0.18262584342567342,0.012575500891172863,-0.02275973735570519,0.10616288542826148,-0.06395145855233061,-0.029199712249737136,0.11074718247910456,0.06832054952705591,0.04728857618004695,0.010354406727355775,-0.4005867378530882,-0.07423780515371206,0.5665772541590495,-0.026747023681518534,-0.029282192594658855,0.001456093545576594
csmom_20,0.9202197648420296,1.0,0.07325345613047357,0.05961698968847725,0.8189811261269059,0.5578710483377627,0.5175809097938381,0.5027013098589825,0.040280463953117,0.016574431415325667,0.4945611429205701,0.29071622633841937,0.3738033451340851,0.3654497579043685,0.028941993816111823,-0.004046719044510467,0.3602948868119504,0.18475939223231894,0.629176079952211,0.09724867087531056,0.01710774924588047,0.24443377776168487,0.021399420293130026,0.023652474827302886,0.17842610768092543,0.006725649570133497,0.026453574801599787,0.024112876039321978,0.31233700954034027,0.23290305448739781,-0.0045005202003266355,-0.0024983900644361093,0.18039119742800921,-0.7497150125829714,-0.621944390458402,-0.4896007013933109,-0.4517266759937111,0.022857928889792895,-0.9460774209969594,0.03891912196387869,0.16338714924172848,0.1106541572287433,0.01641742852354635,0.16497525991202316,0.011991469980567167,-0.026055487535850227,0.11554769441321829,-0.07395960804662341,-0.03372108469407827,0.11736468788486144,0.07266532263669032,0.0358439497026351,0.006791457244526906,-0.37002636397379157,-0.06308606245471067,0.5368453968890463,-0.01965331570112761,-0.023006357325002343,-0.009139214705938243
trend_efficiency_20,0.07671035571476176,0.07325345613047357,1.0,0.08588626237512291,0.07734794428381722,0.021093530967851545,0.034688501490232775,0.03399641036043416,0.29410761106778627,0.03753491868592299,0.041263805769780997,0.021088173374602694,0.04378272225102806,0.0430031189787218,0.13542622350718084,0.023592915162557144,0.050919625649185556,0.022150317050020487,0.03675395484220772,-0.003929486877384678,0.033929743514265934,0.0184026344328001,-0.010259543026610782,-0.00941792094810183,0.013102086694773979,0.0002822068887926468,-0.0236226627440139,-0.028173575720647003,0.019779748960337632,0.02380793083524004,-0.016962565056426994,-0.02518079036646447,-0.003331984396682953,-0.048066473147859425,-0.04737747553750766,-0.04564533945813377,-0.06013261659029143,0.12290052712819592,-0.08016728295444898,0.17757670177273896,0.08078733445009977,0.1443932494003067,0.02038125553814553,0.1658772057840332,0.043362055069422,0.032596315869687253,0.03523179431511642,-0.07912479438569507,-0.027696540329227567,-0.025350072646385582,-0.0249499018928823,-0.0008262947306459137,0.002280185421291731,-0.020788328760050254,-0.05398053192527316,-0.031670182424850174,0.06544575132532753,0.08612332689120945,0.009139330093988634
realized_vol_20,0.049552822034667245,0.05961698968847725,0.08588626237512291,1.0,0.04111845854048671,0.027484559395013364,0.08823153423510238,0.08602225290818741,0.16599834874975777,0.8976697472782266,0.09487961985808188,0.037010669314642385,0.12648192844449235,0.1348157968411066,0.16294148746100268,0.8426081551035707,0.12530795505999312,0.06680510676664521,0.07516566246752338,0.11171646610165877,-0.010340317782497695,0.1347581882031134,0.002812786944323091,0.0011369108817095045,-3.429995842001186e-05,-0.0015334989446925092,0.010518223264684337,0.006200688962516755,0.03393531157783956,-0.005093338403926611,-0.010076747377466106,-0.01639472365909218,0.003196851904400392,-0.06302953435106431,-0.08226899694586214,-0.13572833425241454,-0.01638015514102313,0.009621323544067204,-0.06124349373172125,0.05080897327621782,0.012205183234739736,0.05159019937233866,-0.010086996871299958,0.15339565507868289,-0.01615725535186012,0.06374216489252356,0.5278061209779288,-0.9492743054164543,-0.8613916055043004,-0.060970900163102325,-0.046661159222698735,0.07439875499592821,0.6349313404535102,-0.058638701997709604,0.1345648733755764,-0.01995308444253096,0.09281610008569376,0.10122114768670644,-0.0020371720991549285
momentum_quality_20,0.9345827255012045,0.8189811261269059,0.07734794428381722,0.04111845854048671,1.0,0.5068535251783268,0.52845301450987,0.4708451747788059,0.030496670576530823,0.0029698055353375476,0.5314787039174337,0.3197194566597669,0.3861470444741254,0.3472791341037654,0.025179822432386045,-0.0172438625276669,0.38497591174285556,0.21887783346570366,0.533960391082854,0.10525717940511195,0.011500715574693463,0.24728506038345582,0.02152380755651405,0.02545311349055312,0.1679040820371286,0.0058824902133141205,0.025830729038189622,0.026600473465084356,0.29777461064448996,0.21418508500591732,0.006502121034807393,0.008895887881118345,0.1909205960297975,-0.7311271976238018,-0.6220504547620115,-0.4987006185175458,-0.4520214014347014,0.030678771104309676,-0.854746868748084,0.05311825634143055,0.23437454500579238,0.12017984352622138,0.014627353019824959,0.1764065653694969,0.013354565967950278,-0.03153061452148731,0.09499624124918311,-0.052680555604305686,-0.020051032766510806,0.11084959078960213,0.07064045641143188,0.04484552164342404,0.004497860463010231,-0.38705241886676767,-0.06505036165503808,0.5278465752210927,-0.026457159010215073,-0.03140780945080402,0.007597326560232912
vol_managed_momentum_20,0.6888996098805119,0.5578710483377627,0.021093530967851545,0.027484559395013364,0.5068535251783268,1.0,0.34671646434765885,0.26989758004952913,-0.023922358709041625,0.00961530215636759,0.3033872603647195,0.3323953683069534,0.24902431455087845,0.2071043382043608,-0.014581898241781459,0.002698029978990734,0.22690744204708937,0.1958637328796399,0.620976108748449,0.06383947567894889,0.0029327395441820074,0.1325493402059723,0.008579899862652968,0.010015777213143829,0.08568072125592535,-0.002148327736343364,0.015180349392535392,0.015917186273793228,0.1632083024445814,0.12105971962684779,0.004957827601051434,0.008038098248778516,0.09849535461668925,-0.5796949396908421,-0.4526943479643323,-0.34985347817171,-0.23872663973751646,0.0036332630568400525,-0.47989099890206127,0.02842084427346936,0.059175528843063895,0.09127311285467271,0.008094807052828753,0.12327429629283154,0.0027834279845731008,0.007485658043254575,0.06606755971519056,-0.04071372103014439,-0.02165495128200465,0.06669067527538708,0.03775823952103158,0.03895855622070374,0.01682190713563144,-0.253382729988728,-0.054776868340370606,0.3791755989111681,-0.0346799245540521,-0.03321063946997215,-6.26334086788455e-05
tsmom_60,0.5522512370320478,0.5175809097938381,0.034688501490232775,0.08823153423510238,0.52845301450987,0.34671646434765885,1.0,0.9252174728664921,0.03152359118343434,0.052942464136801676,0.9337548750716536,0.656768829238395,0.6911815449363578,0.6384322112103207,0.03632661446145948,0.005445687845219991,0.6550192088058405,0.4398921054547258,0.7448294398454931,0.21520307210966247,-0.010701616998277184,0.39641364682413854,0.006397907430367281,0.01315402547859986,0.07254179072300296,-0.0011714174716956796,0.030599189931766125,0.03787479653061157,0.14830477673993545,-0.012204032755940253,0.057552510057841004,0.062332939298665964,0.29991975372017926,-0.7399280836165287,-0.8448118893810587,-0.773552489319504,-0.25938027984311823,0.01606752466297211,-0.5228060630606334,0.0068798776643015005,0.19011209679392177,0.02607666072369945,0.01671280604777288,0.0941655358817379,0.009529631960343034,-0.03959749717940447,0.11709935010393262,-0.10149125725143388,-0.07810783033563991,0.3120952869098262,0.17489907559243126,0.09725622673077566,0.06262839768347461,-0.7447975555195915,-0.027859011229214015,0.2463792152228287,-0.0177848491501877,-0.03187069341670579,-0.011760429238156234
csmom_60,0.49617216895113303,0.5027013098589825,0.03399641036043416,0.08602225290818741,0.4708451747788059,0.26989758004952913,0.9252174728664921,1.0,0.06525029386851744,0.0542773345104726,0.8184860659969715,0.5443314566001565,0.6408188580542122,0.641562462538946,0.04444723370741932,0.007683263778620503,0.5967944845152544,0.34471604920641785,0.7060000606082114,0.2093092248129017,-0.009519933303348145,0.40017414595367234,0.0075366307976057695,0.016803620007153998,0.07062171654036675,-0.001516532228010404,0.03084927526418671,0.042692189036241904,0.15170695810261262,-0.014307833977618747,0.052228640228840606,0.06113830312314009,0.30351048843085227,-0.6889831037886688,-0.783824560038286,-0.7083766251606548,-0.24299105624431228,0.018133843718004406,-0.5063838455706027,0.00692616396949816,0.1732939140457418,0.017484555139441343,0.01533884822646405,0.07704307052324236,0.01114143218261874,-0.04970332885685995,0.10859604123539529,-0.09969451650038602,-0.07818791967202067,0.26132403586856645,0.13857819070934957,0.11092215669908893,0.06654921759766168,-0.6786630876144407,-0.02727367003626854,0.21763883617246654,0.02041233604300565,0.003329675867795013,-0.01026098217326889
trend_efficiency_60,0.025273953986241715,0.040280463953117,0.29410761106778627,0.16599834874975777,0.030496670576530823,-0.023922358709041625,0.03152359118343434,0.06525029386851744,1.0,0.08863131935285981,0.031126621988582372,-0.02286196037848204,0.05758960692545644,0.048083423597672995,0.4291499581785335,0.042667911867348765,0.07942138597624382,0.019801999626976912,0.01877865645043099,-0.012670379903296978,0.028013255540949775,-0.01485194027419315,0.0018107499890535478,0.001999756423841796,0.026419339810915744,0.0016079577634815468,-0.0005776117348003159,-0.0004242553883040832,0.022870010189945392,0.021144357866899135,-0.04261515276892678,-0.051768424218310155,-0.017113663406575826,-0.017094601727298837,-0.03627440604461363,-0.06960428776064434,-0.03765632064041443,0.039411039812822096,-0.052311744137738675,0.10272276976720403,0.03837745125902437,0.08236437995808901,-0.005438401427605276,0.17490841901539197,-0.0009696802441737166,0.03479809650403699,0.06962489715344083,-0.15469602850455613,-0.08118700764935236,-0.01537986183812663,0.002180071608012991,-0.017872211641230342,0.05326674182530737,-0.004884106377849341,0.006978112126102282,-0.018018859107605676,0.2280125959898413,0.27763822733740584,0.0083334514290707
realized_vol_60,0.011486188668678756,0.016574431415325667,0.03753491868592299,0.8976697472782266,0.0029698055353375476,0.00961530215636759,0.052942464136801676,0.0542773345104726,0.08863131935285981,1.0,0.05755229301468479,0.024365316917252678,0.09958035224628345,0.10138678799515322,0.14167189919327816,0.9503829481127833,0.1045919570817304,0.046692326827127935,0.03572871022757475,0.1169130536414073,-0.015534796529227804,0.13530489985773414,0.005067286461777085,0.002880031651013825,-0.010079105657353184,0.0012295392205713327,0.003256370931937002,0.0015839040940500058,0.002408814650110842,-0.008318746551329533,-0.006719902487979558,-0.009228658431310382,0.0011917437573332474,-0.01620734909202757,-0.03643493944690756,-0.09889348404146886,-0.0014580163410543056,9.254581881346772e-05,-0.01275262576220907,0.00853903433405453,-0.03448016849557196,-0.010239820965498175,-0.003852259963038532,0.027614893495502352,-0.009793972874776504,0.020206436226031167,0.5225214393178246,-0.8647573896430135,-0.9556644769130342,-0.08957936600987718,-0.07347955749087422,0.07623218452429431,0.7036974729909778,-0.026391428178939188,0.07118919501006962,0.021174233320233608,0.09203418379500578,0.09567204386180982,0.0011768354183776405
momentum_quality_60,0.5308324790665123,0.4945611429205701,0.041263805769780997,0.09487961985808188,0.5314787039174337,0.3033872603647195,0.9337548750716536,0.8184860659969715,0.031126621988582372,0.05755229301468479,1.0,0.46470927438795057,0.6551969357725855,0.5947891933437436,0.053879979350030464,0.009981326153258235,0.6633195277746664,0.370364192019094,0.6035444744677071,0.21303546436563836,-0.010269848723546852,0.3871187073257455,0.008726855464388804,0.014584145543493968,0.08022927770308264,0.0012033141348482806,0.03705884309438987,0.040348590171763773,0.15311150227571857,-0.008361113900583712,0.06922294792049845,0.07199234599915663,0.3002956026899624,-0.629373123286115,-0.7401646781562059,-0.7096787593321168,-0.26312175750105343,0.01346261617798001,-0.5220995191737415,0.013201829123472474,0.20206376125000128,0.02775669615362929,0.01328285670305427,0.09228344535383733,0.005651049381425761,-0.03540409303585951,0.11032745579286578,-0.10651198993476592,-0.08406078638806891,0.28040721370628163,0.16619432448383148,0.08954199635137508,0.07240535298269375,-0.7075196130146261,-0.03038269207448401,0.2467866839294858,-0.019614140455636156,-0.03495438513044008,-0.012983145365426399
vol_managed_momentum_60,0.3599661063463731,0.29071622633841937,0.021088173374602694,0.037010669314642385,0.3197194566597669,0.3323953683069534,0.656768829238395,0.5443314566001565,-0.02286196037848204,0.024365316917252678,0.46470927438795057,1.0,0.4367714398720772,0.3491394369907747,-0.022548788494570367,0.0011595701736578402,0.3671817778561247,0.45382932364982503,0.7055672979215255,0.09799808664540736,-0.0032398739968540016,0.18402484600304297,0.0001225232653903777,0.001231215055741511,0.028590681237958805,0.0016915191747882813,-0.0005135733890026973,0.005744144996175329,0.06113438939027727,-0.003240387702929535,0.0066540848568974785,0.010202923769967261,0.13567738932052195,-0.5981600498627888,-0.6397622459751708,-0.5331111350298847,-0.13728907228870685,0.006672683680690039,-0.2606372445259635,-0.01555945590967053,0.1002543674404622,0.021744466668159594,0.012605865248610239,0.06714249170978086,0.005308679496733044,0.00040193851821876994,0.0750189884953071,-0.047030398424786596,-0.03731044988343783,0.2749219995205871,0.15311522784144338,0.051551245668999116,0.01793706701884237,-0.4848276051645118,-0.01182861141427604,0.1517614739116846,-0.047339132980983994,-0.04861140641476413,-0.0024415488707254258
