feature_name,source_factor,source_factor_id,transformation,category,economic_meaning,available_date,missing_rate,usage_type,classification,correlation_cluster
trend_efficiency_20__cs_robust_z,趋势效率,3,同日横截面中位数/MAD去极值(5.0)并标准化；缺失填0；模型折内再次仅用训练期缩放,趋势与动量,区分平滑趋势与高噪声路径,因子日T收盘后形成，T+1开盘可用,0.01656664964249234,conditional,C,10.0
trend_efficiency_20__missing,趋势效率,3,原始特征缺失指示器,数据质量标签,区分真实中性值与数据缺失造成的零填充,与源因子同步,0.0,quality_flag,C,10.0
vol_managed_momentum_20__cs_robust_z,波动率管理动量,42,同日横截面中位数/MAD去极值(5.0)并标准化；缺失填0；模型折内再次仅用训练期缩放,趋势与动量,按波动缩放可稳定不同品种风险预算,因子日T收盘后形成，T+1开盘可用,0.01656664964249234,risk,D,30.0
vol_managed_momentum_20__missing,波动率管理动量,42,原始特征缺失指示器,数据质量标签,区分真实中性值与数据缺失造成的零填充,与源因子同步,0.0,quality_flag,D,30.0
trend_efficiency_60__cs_robust_z,趋势效率,3,同日横截面中位数/MAD去极值(5.0)并标准化；缺失填0；模型折内再次仅用训练期缩放,趋势与动量,区分平滑趋势与高噪声路径,因子日T收盘后形成，T+1开盘可用,0.0358944075587334,conditional,C,8.0
trend_efficiency_60__missing,趋势效率,3,原始特征缺失指示器,数据质量标签,区分真实中性值与数据缺失造成的零填充,与源因子同步,0.0,quality_flag,C,8.0
vol_managed_momentum_60__cs_robust_z,波动率管理动量,42,同日横截面中位数/MAD去极值(5.0)并标准化；缺失填0；模型折内再次仅用训练期缩放,趋势与动量,按波动缩放可稳定不同品种风险预算,因子日T收盘后形成，T+1开盘可用,0.0358944075587334,risk,D,38.0
vol_managed_momentum_60__missing,波动率管理动量,42,原始特征缺失指示器,数据质量标签,区分真实中性值与数据缺失造成的零填充,与源因子同步,0.0,quality_flag,D,38.0
tsmom_120__cs_robust_z,时间序列动量,1,同日横截面中位数/MAD去极值(5.0)并标准化；缺失填0；模型折内再次仅用训练期缩放,趋势与动量,价格冲击与机构调仓可能形成中期延续,因子日T收盘后形成，T+1开盘可用,0.0641279366700715,predictor,B,32.0
tsmom_120__missing,时间序列动量,1,原始特征缺失指示器,数据质量标签,区分真实中性值与数据缺失造成的零填充,与源因子同步,0.0,quality_flag,B,32.0
