feature_name,sector,correlation,observations
tsmom_20,agriculture,-0.015043386647065615,15376
tsmom_20,chemicals,-0.012852305509746134,9371
tsmom_20,energy_rubber,-0.009062108509101824,6245
tsmom_20,ferrous_building,0.04309378881923226,11532
tsmom_20,nonferrous_precious,-0.0016806451167745856,11473
csmom_20,agriculture,-0.023983147480548066,15376
csmom_20,chemicals,-0.028530028201587978,9371
csmom_20,energy_rubber,-0.0005717539547568403,6282
csmom_20,ferrous_building,0.01651249524531099,11532
csmom_20,nonferrous_precious,-0.04598960333472945,11473
trend_efficiency_20,agriculture,-0.04479329325156928,15376
trend_efficiency_20,chemicals,-0.009141004796488337,9371
trend_efficiency_20,energy_rubber,-0.023260226027698085,6245
trend_efficiency_20,ferrous_building,0.02300267726365384,11532
trend_efficiency_20,nonferrous_precious,-0.0003619806628713612,11473
realized_vol_20,agriculture,0.03877987805839959,15456
realized_vol_20,chemicals,-0.03202399275731333,9431
realized_vol_20,energy_rubber,0.033368728130055106,6275
realized_vol_20,ferrous_building,0.050697798667672905,11592
realized_vol_20,nonferrous_precious,0.012983994194283708,11533
momentum_quality_20,agriculture,-0.01479382813055786,15376
momentum_quality_20,chemicals,-0.013207432114149202,9371
momentum_quality_20,energy_rubber,-0.008678325065996794,6245
momentum_quality_20,ferrous_building,0.04304675066107785,11532
momentum_quality_20,nonferrous_precious,-0.0014163951276806384,11473
vol_managed_momentum_20,agriculture,-0.0019138885836092843,15376
vol_managed_momentum_20,chemicals,0.014869466386796846,9371
vol_managed_momentum_20,energy_rubber,0.033088351531742166,6245
vol_managed_momentum_20,ferrous_building,0.04355507834139144,11532
vol_managed_momentum_20,nonferrous_precious,0.02576981819969958,11473
tsmom_60,agriculture,0.019622487178518215,15056
tsmom_60,chemicals,-0.03896037672772468,9131
tsmom_60,energy_rubber,-0.019442232573688385,6056
tsmom_60,ferrous_building,0.008658779357896931,11292
tsmom_60,nonferrous_precious,-0.029021936642735998,11233
csmom_60,agriculture,-0.005376109048340805,15056
csmom_60,chemicals,-0.04672941271371157,9131
csmom_60,energy_rubber,-0.011735464014232103,6123
csmom_60,ferrous_building,-0.0015391971466238272,11292
csmom_60,nonferrous_precious,-0.04028275481401483,11233
trend_efficiency_60,agriculture,-0.015567115031623465,15056
trend_efficiency_60,chemicals,-0.00014232142289883284,9131
trend_efficiency_60,energy_rubber,-0.011442061682869369,6056
trend_efficiency_60,ferrous_building,-0.024502956949721228,11292
trend_efficiency_60,nonferrous_precious,0.006576755499722184,11233
realized_vol_60,agriculture,0.05904829742745278,15296
realized_vol_60,chemicals,-0.021861714919543643,9311
realized_vol_60,energy_rubber,0.03525438586062399,6162
realized_vol_60,ferrous_building,0.03563292631667503,11472
realized_vol_60,nonferrous_precious,0.03020010908883616,11413
momentum_quality_60,agriculture,0.01926625385070208,15056
momentum_quality_60,chemicals,-0.039264945970707926,9131
momentum_quality_60,energy_rubber,-0.018503066534253224,6056
momentum_quality_60,ferrous_building,0.009017986184013789,11292
momentum_quality_60,nonferrous_precious,-0.029291957880976785,11233
vol_managed_momentum_60,agriculture,0.018275860430462126,15056
vol_managed_momentum_60,chemicals,0.009741038214290202,9131
vol_managed_momentum_60,energy_rubber,0.006466949502789997,6056
vol_managed_momentum_60,ferrous_building,0.03931291240221011,11292
vol_managed_momentum_60,nonferrous_precious,0.005698103833831509,11233
tsmom_120,agriculture,0.005198127802802744,14576
tsmom_120,chemicals,-0.04508394870575729,8771
tsmom_120,energy_rubber,-0.035478195246364364,5827
tsmom_120,ferrous_building,0.0077421255904313304,10932
tsmom_120,nonferrous_precious,-0.030002462064846188,10873
csmom_120,agriculture,0.013083400375319305,14576
csmom_120,chemicals,-0.0398281838464932,8771
csmom_120,energy_rubber,-0.03224698913618078,5904
csmom_120,ferrous_building,0.014276296000010947,10932
csmom_120,nonferrous_precious,0.0021223757991941485,10873
trend_efficiency_120,agriculture,0.016753269477258897,14576
trend_efficiency_120,chemicals,0.009039463361598539,8771
trend_efficiency_120,energy_rubber,-0.01897761279455067,5827
trend_efficiency_120,ferrous_building,-0.022742687512127987,10932
trend_efficiency_120,nonferrous_precious,-0.013743640033360512,10873
realized_vol_120,agriculture,0.059414746396641,15056
realized_vol_120,chemicals,-0.013356612814273007,9131
realized_vol_120,energy_rubber,0.009843546637577237,6032
realized_vol_120,ferrous_building,0.03233157638752096,11292
realized_vol_120,nonferrous_precious,0.028696851323832342,11233
momentum_quality_120,agriculture,0.004897613562020066,14576
momentum_quality_120,chemicals,-0.04587414122476107,8771
momentum_quality_120,energy_rubber,-0.035424461080067624,5827
momentum_quality_120,ferrous_building,0.007942415635500072,10932
momentum_quality_120,nonferrous_precious,-0.030266634369784603,10873
vol_managed_momentum_120,agriculture,-0.0020880792625663997,14576
